"nombres","apellidos","numero.lista","corporacion","partido","genero","nacimiento","tiempo.congreso","La.eutanasia","El.sexo.antes.del.matrimonio","El.matrimonio.homosexual","El.divorcio","El.consumo.de.marihuana","El.aborto","Estatuto.de.la.Ciudadanía.Juvenil","Justicia.Penal.Militar..Fuero.Militar","Reforma.a.la.Justicia.Ejecutivo","Implementación.del.TLC.con.Estados.Unidos..Ley.Lleras.2.0","Ley.estatutaria.de.reforma.a.la.salud"
"Mirla Brigith","Aaron Freite","103","Representante a la Cámara","Centro Democrático","F",NA,0,"","","","","","",NA,NA,NA,NA,NA
"José Luis","Abdala Olivera","105","Representante a la Cámara","Conservador Colombiano","M",NA,0,NA,NA,"","","","",NA,NA,NA,NA,NA
"Samir Jose","Abisambra Vesga","104","Representante a la Cámara","Alianza Verde","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Camilo Andrés","Abril Jaimes","101","Representante a la Cámara","Cambio Radical","M",1981,4,"","","","","","",NA,"","agree",NA,"agree"
"Jorge Camilo","Abril Tarache","101","Representante a la Cámara","Liberal Colombiano","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Nicolas Elias ","Abuchaibe Slebi","80","Senador de la República","Centro Democrático","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Feder Francisco ","Acevedo Atencio","102","Representante a la Cámara","MIRA","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Martha","Acevedo Cardenas","402","Representante a la Cámara","Conservador Colombiano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Nancy Elena ","Acevedo Medina","108","Representante a la Cámara","Opción Ciudadana","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Jorge Enrique","Acevedo Peñaloza","103","Representante a la Cámara","Centro Democrático","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Ómar","Acevedo Ramírez","101","Representante a la Cámara","Polo Democrático Alternativo","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Miguel Orlando","Acevedo Salas","38","Senador de la República","Cambio Radical","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Globis Oweimar","Acevedo Toledo","101","Representante a la Cámara","MIRA","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Martha Isabel","Acosta Angulo","91","Senador de la República","Cambio Radical","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Manuel Julian","Acosta Barros","54","Senador de la República","Alianza Verde","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Alvaro","Acosta Camacho","54","Senador de la República","MIRA","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Rafael Enrique ","Acosta Carboneros","104","Representante a la Cámara","Union Patriotica - Up","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Edith Aurora","Acosta Cortes","106","Representante a la Cámara","Polo Democrático Alternativo","",NA,0,"","","","","","",NA,NA,NA,NA,NA
