"número","departamento","corporación","partido","nombre"
"101","amazonas","cámara","uribe centro democratico","jose huber araujo nieto"
"102","amazonas","cámara","uribe centro democratico","gloria elena revelo castillo"
"103","amazonas","cámara","uribe centro democratico","romero  amia wilches"
"101","amazonas","cámara","movimiento mira","alvaro  muñoz pinto"
"101","amazonas","cámara","partido cambio radical","manuel antonio carebilla cuellar"
"102","amazonas","cámara","partido cambio radical","jhicel  benjumea acosta"
"103","amazonas","cámara","partido cambio radical","luis angel pantevis"
"101","amazonas","cámara","partido opcion ciudadana","rafael  elizalde gomez"
"102","amazonas","cámara","partido opcion ciudadana","jose alberto lozada pinedo"
"103","amazonas","cámara","partido opcion ciudadana","hugo alberto  perez  araujo"
"101","amazonas","cámara","partido liberal colombiano","victor hugo moreno bandeira"
"102","amazonas","cámara","partido liberal colombiano","eduar luis benjumea moreno"
"103","amazonas","cámara","partido liberal colombiano","alejandro  calvache babilonia"
"101","amazonas","cámara","partido social de unidad nacional - partido de la u","jose  antonio do santos pinto"
"102","amazonas","cámara","partido social de unidad nacional - partido de la u","manuel  cabrera oliveira"
"103","amazonas","cámara","partido social de unidad nacional - partido de la u","rafael  moreno godoy"
"101","amazonas","cámara","partido alianza verde","harold pierr rengifo vargas"
"102","amazonas","cámara","partido alianza verde","ramiro  moore pantoja"
"103","amazonas","cámara","partido alianza verde","rafael enrique clavijo pardo"
"301","antioquia","cámara afro","corporacion nelson mandela cormandela","maria victoria mendoza hinestroza"
"101","antioquia","cámara","uribe centro democratico","oscar dario perez pineda"
"102","antioquia","cámara","uribe centro democratico","santiago  valencia gonzalez"
"103","antioquia","cámara","uribe centro democratico","maria regina zuluaga henao"
"104","antioquia","cámara","uribe centro democratico","federico eduardo hoyos salazar"
"105","antioquia","cámara","uribe centro democratico","wilson  cordoba mena"
"106","antioquia","cámara","uribe centro democratico","margarita maria restrepo arango"
"107","antioquia","cámara","uribe centro democratico","fabio  aristizabal angel"
"108","antioquia","cámara","uribe centro democratico","victoria eugenia restrepo uribe"
"109","antioquia","cámara","uribe centro democratico","mauricio  tobon franco"
"110","antioquia","cámara","uribe centro democratico","ana cristina moreno palacios"
