"MUN","DEP","CL","OIZ","MLR","JMS","EP","BLANCOS","SIN.MARCA","NULOS","POTENCIAL","TOTAL"
"EL ENCANTO","Amazonas",16,56,23,91,18,3,3,4,746,214
"LA CHORRERA","Amazonas",11,80,13,176,12,3,2,4,1038,301
"LA PEDRERA","Amazonas",0,0,0,0,0,0,0,0,1042,0
"LA VICTORIA","Amazonas",2,2,0,0,0,2,0,0,23,6
"LETICIA","Amazonas",1568,3875,1183,3123,686,394,46,208,31335,11083
"MIRITI PARANA","Amazonas",8,3,8,22,6,3,0,1,459,51
"PUERTO ALEGRIA","Amazonas",2,5,6,46,3,1,0,0,277,63
"PUERTO ARICA","Amazonas",5,11,17,82,12,3,1,1,403,132
"PUERTO NARIÃO","Amazonas",147,224,124,865,83,22,17,23,4014,1505
"PUERTO SANTANDER","Amazonas",9,41,17,42,3,5,1,1,654,119
"TARAPACA","Amazonas",14,53,25,155,3,2,2,5,1322,259
"ABEJORRAL","Antioquia",318,3018,499,576,86,184,50,96,14939,4827
"ABRIAQUI","Antioquia",15,289,135,210,12,20,16,12,1903,709
"ALEJANDRIA","Antioquia",57,502,145,786,32,154,30,14,4377,1720
"AMAGA","Antioquia",786,2370,1514,1376,299,495,48,252,20893,7140
"AMALFI","Antioquia",569,1699,621,383,184,315,32,93,15588,3896
"ANDES","Antioquia",874,5582,1795,1216,303,555,53,204,32918,10582
"ANGELOPOLIS","Antioquia",153,732,348,255,84,95,16,38,5466,1721
"ANGOSTURA","Antioquia",226,1123,390,551,125,175,73,143,8632,2806
"ANORI","Antioquia",174,467,345,702,79,104,22,27,10215,1920
"ANTIOQUIA","Antioquia",847,2517,1066,1857,268,621,87,304,18537,7567
"ANZA","Antioquia",86,939,144,359,38,82,23,36,5322,1707
"APARTADO","Antioquia",1718,7084,3013,10391,1271,1968,427,431,82208,26303
"ARBOLETES","Antioquia",156,1782,241,4069,64,143,44,130,21371,6629
"ARGELIA","Antioquia",24,1756,77,274,36,102,27,30,6489,2326
"ARMENIA","Antioquia",60,605,259,313,34,86,14,45,4831,1416
"BARBOSA","Antioquia",2091,4751,2897,2098,664,966,92,540,35505,14099
"BELLO","Antioquia",21155,34202,25370,14786,7401,9949,303,3646,296790,116812
"BELMIRA","Antioquia",87,453,263,336,48,95,14,52,4470,1348
"BETANIA","Antioquia",74,1767,185,301,49,106,20,39,8241,2541
"BETULIA","Antioquia",98,2936,446,637,80,185,50,82,12791,4514
"BOLIVAR","Antioquia",506,3650,1720,950,207,361,49,146,23204,7589
"BRICEÃO","Antioquia",57,293,259,235,44,60,10,37,5819,995
"BURITICA","Antioquia",77,510,253,298,55,98,18,81,6429,1390
"CACERES","Antioquia",448,1079,520,2470,264,286,251,112,19416,5430
"CAICEDO","Antioquia",69,1121,142,267,26,80,37,47,5784,1789
"CALDAS","Antioquia",4358,6620,6405,3978,1612,2781,115,1200,56075,27069
"CAMPAMENTO","Antioquia",167,256,188,586,52,74,20,27,5911,1370
"CAÃASGORDAS","Antioquia",195,2789,581,1633,101,232,61,126,12735,5718
"CARACOLI","Antioquia",109,370,234,368,94,49,13,24,4639,1261
"CARAMANTA","Antioquia",97,914,194,666,47,75,33,49,5141,2075
"CAREPA","Antioquia",757,3950,1533,4681,451,747,60,166,38452,12345
"CARMEN DE VIBORAL","Antioquia",3643,5200,3112,1531,1035,1026,89,562,30575,16198
"CAROLINA","Antioquia",99,367,322,279,84,115,6,52,4034,1324
"CAUCASIA","Antioquia",3619,4762,3135,5136,1150,1238,111,584,60554,19735
"CHIGORODO","Antioquia",999,3031,1415,5802,426,807,183,226,41610,12889
"CISNEROS","Antioquia",382,891,672,1101,107,226,35,106,11126,3520
"COCORNA","Antioquia",237,2522,381,1656,88,179,69,82,12475,5214
"CONCEPCION","Antioquia",65,806,405,356,27,86,25,37,4452,1807
"CONCORDIA","Antioquia",221,3236,406,600,132,266,118,120,15381,5099
"COPACABANA","Antioquia",5101,6499,5547,3004,1234,2041,230,884,56567,24540
"DABEIBA","Antioquia",175,1258,214,1836,67,195,39,92,15863,3876
"DON MATIAS","Antioquia",394,2881,805,319,249,405,44,120,15845,5217
"EBEJICO","Antioquia",149,2077,361,946,91,260,43,88,11122,4015
"EL BAGRE","Antioquia",919,1935,1821,1238,614,490,30,218,33331,7265
"ENTRERRIOS","Antioquia",269,1236,616,345,134,290,16,73,7480,2979
"ENVIGADO","Antioquia",16050,42313,21653,9731,7511,9175,367,2608,225101,109408
"FREDONIA","Antioquia",585,2176,1205,1024,175,343,42,170,17648,5720
"FRONTINO","Antioquia",263,963,685,1613,100,277,43,92,16096,4036
"GIRALDO","Antioquia",121,597,214,441,32,71,12,39,3669,1527
"GIRARDOTA","Antioquia",3442,3877,4568,2491,969,1627,72,715,42867,17761
"GOMEZ PLATA","Antioquia",195,831,574,432,169,234,24,100,7944,2559
"GRANADA","Antioquia",275,2328,394,685,75,165,52,80,10006,4054
"GUADALUPE","Antioquia",350,225,396,470,38,113,11,45,5501,1648
"GUARNE","Antioquia",1751,5036,3735,1236,568,951,68,485,28996,13830
"GUATAPE","Antioquia",429,1283,552,718,116,186,18,93,6122,3395
"HELICONIA","Antioquia",110,661,185,829,40,127,183,43,5801,2178
"HISPANIA","Antioquia",84,653,209,480,45,105,18,25,5104,1619
"ITAGUI","Antioquia",14974,27514,20026,14213,5376,8074,245,2829,231363,93251
"ITUANGO","Antioquia",437,756,492,818,123,311,66,165,16942,3168
"JARDIN","Antioquia",463,2320,1266,672,189,278,33,96,11441,5317
"JERICO","Antioquia",319,2017,924,482,141,230,30,134,10975,4277
"LA CEJA","Antioquia",2857,8839,5175,2399,1348,1723,117,764,41178,23222
"LA ESTRELLA","Antioquia",3374,6466,4687,2254,1260,1814,67,713,48196,20635
"LA PINTADA","Antioquia",103,1300,235,696,45,106,36,53,6109,2574
"LA UNION","Antioquia",779,3484,1553,904,508,484,38,231,15294,7981
"LIBORINA","Antioquia",216,1621,518,768,65,132,21,37,8849,3378
"MACEO","Antioquia",294,721,393,595,58,131,16,50,7253,2258
"MARINILLA","Antioquia",2577,6545,2764,1731,882,938,58,411,36465,15906
"MEDELLIN","Antioquia",106347,261448,127393,67322,42808,53327,1997,15679,1412495,676321
"MONTEBELLO","Antioquia",157,931,461,310,53,145,52,59,5911,2168
"MURINDO","Antioquia",75,19,10,355,6,8,2,7,2508,482
"MUTATA","Antioquia",102,703,166,1796,70,135,25,52,12039,3049
"NARIÃO","Antioquia",32,2345,149,344,40,68,118,50,8867,3146
"NECHI","Antioquia",244,1442,523,1147,98,100,25,64,17285,3643
"NECOCLI","Antioquia",270,2450,486,5424,196,258,77,168,30732,9329
"OLAYA","Antioquia",18,412,191,131,43,42,8,12,2769,857
"PEÃOL","Antioquia",493,2335,783,1181,169,301,54,105,14621,5421
"PEQUE","Antioquia",57,942,71,730,38,114,131,27,5638,2110
"PUEBLORRICO","Antioquia",92,1326,403,350,43,102,18,100,6824,2434
"PUERTO BERRIO","Antioquia",990,3042,1441,2443,467,508,53,266,33297,9210
"PUERTO NARE-LA MAGDALENA","Antioquia",676,831,337,1901,80,91,13,62,11662,3991
"PUERTO TRIUNFO","Antioquia",222,1697,668,643,112,192,23,82,12172,3639
"REMEDIOS","Antioquia",430,657,524,518,218,234,24,139,15888,2744
"RETIRO","Antioquia",901,3390,1376,762,325,456,29,183,14090,7422
"RIONEGRO","Antioquia",7032,16110,9053,4077,2655,3223,113,1573,87238,43836
"SABANALARGA","Antioquia",77,1165,459,333,60,93,91,44,6723,2322
"SABANETA","Antioquia",3688,7922,4688,3237,1678,1986,46,634,54213,23879
"SALGAR","Antioquia",100,1744,206,307,78,111,50,64,13000,2660
"SAN ANDRES","Antioquia",103,657,272,193,54,140,20,74,4862,1513
"SAN CARLOS","Antioquia",164,1539,340,1912,153,141,28,75,12760,4352
