"MUN","DEP","CL","OIZ","MLR","JMS","EP","BLANCOS","SIN.MARCA","NULOS","POTENCIAL","TOTAL","DANE","GANADOR","VOTOS","BLANCOS.POR.CIENTO","ABTENCION"
"EL ENCANTO","Amazonas",16,56,23,91,18,3,3,4,746,214,"91263","JMS",214,1.4018691588785,71.313672922252
"LA CHORRERA","Amazonas",18,138,23,300,14,4,4,8,1038,509,"91405","JMS",509,0.785854616895874,50.9633911368015
"LA PEDRERA","Amazonas",12,32,12,66,2,0,0,0,1042,124,"91407","JMS",124,0,88.0998080614203
"LA VICTORIA","Amazonas",2,2,0,0,0,2,0,0,23,6,"91430","EMPATE",6,33.3333333333333,73.9130434782609
"LETICIA","Amazonas",1568,3875,1183,3123,686,394,46,208,31335,11083,"91001","OIZ",11083,3.55499413516196,64.6306047550662
"MIRITI PARANA","Amazonas",8,3,8,22,6,3,0,1,459,51,"91460","JMS",51,5.88235294117647,88.8888888888889
"PUERTO ALEGRIA","Amazonas",2,5,6,46,3,1,0,0,277,63,"91530","JMS",63,1.58730158730159,77.2563176895307
"PUERTO ARICA","Amazonas",5,11,17,82,12,3,1,1,403,132,"91536","JMS",132,2.27272727272727,67.2456575682382
"PUERTO NARIÑO","Amazonas",147,224,124,865,83,22,17,23,4014,1505,"91540","JMS",1505,1.46179401993355,62.5062282012955
"PUERTO SANTANDER","Amazonas",9,41,17,42,3,5,1,1,654,119,"91669","JMS",119,4.20168067226891,81.8042813455658
"TARAPACA","Amazonas",23,71,33,213,9,6,2,7,1322,364,"91798","JMS",364,1.64835164835165,72.4659606656581
"ABEJORRAL","Antioquia",318,3018,499,576,86,184,50,96,14939,4827,"5002","OIZ",4827,3.81189144396105,67.6886003079189
"ABRIAQUI","Antioquia",15,289,135,210,12,20,16,12,1903,709,"5004","OIZ",709,2.82087447108604,62.7430373095113
"ALEJANDRIA","Antioquia",57,502,145,786,32,154,30,14,4377,1720,"5021","JMS",1720,8.95348837209302,60.703678318483
"AMAGA","Antioquia",811,2471,1555,1430,312,509,50,269,20893,7407,"5030","OIZ",7407,6.87187795328743,64.5479347149763
"AMALFI","Antioquia",569,1699,621,383,184,315,32,93,15588,3896,"5031","OIZ",3896,8.08521560574949,75.0064151911727
"ANDES","Antioquia",937,6083,1885,1317,326,594,57,218,32918,11417,"5034","OIZ",11417,5.20276780239993,65.3168479251473
"ANGELOPOLIS","Antioquia",156,746,348,256,84,98,16,38,5466,1742,"5036","OIZ",1742,5.62571756601607,68.130259787779
"ANGOSTURA","Antioquia",226,1123,390,551,125,175,73,143,8632,2806,"5038","OIZ",2806,6.23663578047042,67.4930491195551
"ANORI","Antioquia",174,467,345,702,79,104,22,27,10215,1920,"5040","JMS",1920,5.41666666666667,81.2041116005874
"ANTIOQUIA","Antioquia",847,2517,1066,1857,268,621,87,304,18537,7567,"5042","OIZ",7567,8.20668693009119,59.1789394184604
"ANZA","Antioquia",88,996,149,377,42,88,23,39,5322,1802,"5044","OIZ",1802,4.8834628190899,66.1405486659151
"APARTADO","Antioquia",2139,8283,3474,12135,1456,2269,443,518,82208,30717,"5045","JMS",30717,7.38678907445389,62.6350233553912
"ARBOLETES","Antioquia",173,2129,298,4755,77,165,59,144,21371,7800,"5051","JMS",7800,2.11538461538462,63.5019418838613
"ARGELIA","Antioquia",25,1834,80,278,36,105,27,30,6489,2415,"5055","OIZ",2415,4.34782608695652,62.7831715210356
"ARMENIA","Antioquia",60,605,259,313,34,86,14,45,4831,1416,"5059","OIZ",1416,6.07344632768362,70.6892982819292
"BARBOSA","Antioquia",2118,4797,2957,2117,667,977,92,544,35505,14269,"5079","OIZ",14269,6.84701100287336,59.8112941839178
"BELLO","Antioquia",21810,35140,26189,15089,7616,10251,308,3771,296790,120174,"5088","OIZ",120174,8.53013130960108,59.5087435560497
"BELMIRA","Antioquia",115,556,335,479,56,111,15,62,4470,1729,"5086","OIZ",1729,6.4198958935801,61.3199105145414
"BETANIA","Antioquia",74,1767,185,301,49,106,20,39,8241,2541,"5091","OIZ",2541,4.17158598976781,69.1663633054241
"BETULIA","Antioquia",98,2936,446,637,80,185,50,82,12791,4514,"5093","OIZ",4514,4.0983606557377,64.7095614103667
"BOLIVAR","Antioquia",526,3760,1790,960,219,376,49,154,23204,7834,"5101","OIZ",7834,4.79959152412561,66.2385795552491
"BRICEÑO","Antioquia",57,293,259,235,44,60,10,37,5819,995,"5107","OIZ",995,6.03015075376884,82.900842069084
"BURITICA","Antioquia",84,633,273,393,57,105,23,83,6429,1651,"5113","OIZ",1651,6.35978195033313,74.3194898117903
"CACERES","Antioquia",448,1079,520,2470,264,286,251,112,19416,5430,"5120","JMS",5430,5.2670349907919,72.0333745364648
"CAICEDO","Antioquia",97,1405,183,316,38,115,44,65,5784,2263,"5125","OIZ",2263,5.08174988952718,60.8748271092669
"CALDAS","Antioquia",4358,6620,6405,3978,1612,2781,115,1200,56075,27069,"5129","OIZ",27069,10.2737448742104,51.7271511368703
"CAMPAMENTO","Antioquia",175,261,192,603,53,76,20,29,5911,1409,"5134","JMS",1409,5.39389638041164,76.163085772289
"CAÑASGORDAS","Antioquia",203,2960,596,1702,105,241,66,128,12735,6001,"5138","OIZ",6001,4.0159973337777,52.8778955634079
"CARACOLI","Antioquia",109,370,234,368,94,49,13,24,4639,1261,"5142","OIZ",1261,3.88580491673275,72.8174175468851
"CARAMANTA","Antioquia",97,914,194,666,47,75,33,49,5141,2075,"5145","OIZ",2075,3.6144578313253,59.6382026843027
"CAREPA","Antioquia",779,4070,1572,4860,459,754,68,174,38452,12736,"5147","JMS",12736,5.92022613065327,66.8781857900759
"CARMEN DE VIBORAL","Antioquia",3849,5528,3350,1588,1094,1089,96,595,30575,17189,"5148","OIZ",17189,6.33544708825412,43.7808667211774
"CAROLINA","Antioquia",99,367,322,279,84,115,6,52,4034,1324,"5150","OIZ",1324,8.68580060422961,67.1789786812097
"CAUCASIA","Antioquia",3817,5004,3283,5831,1229,1294,119,624,60554,21201,"5154","JMS",21201,6.10348568463752,64.9882749281633
"CHIGORODO","Antioquia",1115,3378,1573,6415,447,867,189,250,41610,14234,"5172","JMS",14234,6.09104959955037,65.7918769526556
"CISNEROS","Antioquia",422,989,756,1292,117,250,46,117,11126,3989,"5190","JMS",3989,6.2672348959639,64.1470429624303
"COCORNA","Antioquia",246,2680,398,1773,91,184,74,87,12475,5533,"5197","OIZ",5533,3.32550153623712,55.6472945891784
"CONCEPCION","Antioquia",65,806,405,356,27,86,25,37,4452,1807,"5206","OIZ",1807,4.75926950747095,59.4115004492363
"CONCORDIA","Antioquia",229,3339,413,633,136,276,123,125,15381,5274,"5209","OIZ",5274,5.23321956769056,65.7109420713868
"COPACABANA","Antioquia",5173,6629,5632,3064,1244,2059,232,893,56567,24926,"5212","OIZ",24926,8.26045093476691,55.9354393904573
"DABEIBA","Antioquia",228,1267,214,1865,67,196,40,92,15863,3969,"5234","JMS",3969,4.93827160493827,74.9795120721175
"DON MATIAS","Antioquia",540,3676,1046,377,310,561,53,159,15845,6722,"5237","OIZ",6722,8.34573043736983,57.5765225623225
"EBEJICO","Antioquia",149,2077,361,946,91,260,43,88,11122,4015,"5240","OIZ",4015,6.47571606475716,63.9003776299227
"EL BAGRE","Antioquia",919,1935,1821,1238,614,490,30,218,33331,7265,"5250","OIZ",7265,6.74466620784584,78.203474243197
"ENTRERRIOS","Antioquia",269,1236,616,345,134,290,16,73,7480,2979,"5264","OIZ",2979,9.73481033903995,60.1737967914438
"ENVIGADO","Antioquia",16197,42683,21948,9870,7592,9304,372,2640,225101,110606,"5266","OIZ",110606,8.41184022566588,50.8638344565328
"FREDONIA","Antioquia",585,2176,1205,1024,175,343,42,170,17648,5720,"5282","OIZ",5720,5.9965034965035,67.5883952855848
"FRONTINO","Antioquia",266,964,685,1615,100,278,43,92,16096,4043,"5284","JMS",4043,6.87608211723967,74.881958250497
"GIRALDO","Antioquia",121,597,214,441,32,71,12,39,3669,1527,"5306","OIZ",1527,4.64963981663392,58.3810302534751
"GIRARDOTA","Antioquia",3472,3911,4607,2539,981,1633,72,724,42867,17939,"5308","MLR",17939,9.10307152015162,58.1519583829053
"GOMEZ PLATA","Antioquia",195,831,574,432,169,234,24,100,7944,2559,"5310","OIZ",2559,9.14419695193435,67.7870090634441
"GRANADA","Antioquia",275,2328,394,685,75,165,52,80,10006,4054,"5313","OIZ",4054,4.07005426739023,59.4843094143514
"GUADALUPE","Antioquia",350,225,396,470,38,113,11,45,5501,1648,"5315","JMS",1648,6.85679611650485,70.0418105798946
"GUARNE","Antioquia",1909,5573,4121,1371,633,1078,78,564,28996,15327,"5318","OIZ",15327,7.03333985776734,47.1409849634432
"GUATAPE","Antioquia",429,1283,552,718,116,186,18,93,6122,3395,"5321","OIZ",3395,5.47864506627393,44.5442665795492
"HELICONIA","Antioquia",110,661,185,829,40,127,183,43,5801,2178,"5347","JMS",2178,5.83103764921947,62.4547491811757
"HISPANIA","Antioquia",84,653,209,480,45,105,18,25,5104,1619,"5353","OIZ",1619,6.48548486720198,68.2797805642633
"ITAGUI","Antioquia",16073,29166,21500,15223,5718,8574,257,3032,231363,99543,"5360","OIZ",99543,8.61336306922636,56.9754022899081
"ITUANGO","Antioquia",447,766,503,841,127,317,70,172,16942,3243,"5361","JMS",3243,9.77489978415048,80.8582221697556
"JARDIN","Antioquia",463,2320,1266,672,189,278,33,96,11441,5317,"5364","OIZ",5317,5.22851231897687,53.5267896162923
"JERICO","Antioquia",319,2017,924,482,141,230,30,134,10975,4277,"5368","OIZ",4277,5.37760112228197,61.0296127562642
"LA CEJA","Antioquia",2857,8839,5175,2399,1348,1723,117,764,41178,23222,"5376","OIZ",23222,7.4196882266816,43.605808927097
"LA ESTRELLA","Antioquia",3422,6501,4713,2261,1267,1837,67,719,48196,20787,"5380","OIZ",20787,8.8372540530139,56.8698647190638
"LA PINTADA","Antioquia",103,1300,235,696,45,106,36,53,6109,2574,"5390","OIZ",2574,4.11810411810412,57.8654444262563
"LA UNION","Antioquia",779,3484,1553,904,508,484,38,231,15294,7981,"5400","OIZ",7981,6.06440295702293,47.8161370472081
"LIBORINA","Antioquia",216,1621,518,768,65,132,21,37,8849,3378,"5411","OIZ",3378,3.90763765541741,61.8261950502882
"MACEO","Antioquia",294,721,393,595,58,131,16,50,7253,2258,"5425","OIZ",2258,5.80159433126661,68.8680545980973
"MARINILLA","Antioquia",2866,7741,3235,2079,1011,1044,73,475,36465,18524,"5440","OIZ",18524,5.6359317641978,49.2006033182504
"MEDELLIN","Antioquia",110387,269646,132714,69638,44203,55562,2086,16496,1412495,700732,"5001","OIZ",700732,7.92913695963649,50.3904792583337
"MONTEBELLO","Antioquia",158,966,470,334,53,149,55,60,5911,2245,"5467","OIZ",2245,6.6369710467706,62.0199627812553
"MURINDO","Antioquia",79,24,11,474,7,8,3,9,2508,615,"5475","JMS",615,1.30081300813008,75.4784688995215
"MUTATA","Antioquia",102,703,166,1796,70,135,25,52,12039,3049,"5480","JMS",3049,4.4276812069531,74.6739762438741
"NARIÑO","Antioquia",32,2345,149,344,40,68,118,50,8867,3146,"5483","OIZ",3146,2.16147488874762,64.5201308221495
"NECHI","Antioquia",248,1491,529,1196,101,100,25,65,17285,3755,"5495","OIZ",3755,2.66311584553928,78.275961816604
"NECOCLI","Antioquia",270,2450,486,5424,196,258,77,168,30732,9329,"5490","JMS",9329,2.76556972880266,69.6440192633086
"OLAYA","Antioquia",23,489,210,147,52,50,8,13,2769,992,"5501","OIZ",992,5.04032258064516,64.1747923438064
"PEÑOL","Antioquia",509,2474,809,1227,178,323,55,108,14621,5683,"5541","OIZ",5683,5.68361780749604,61.1312495725327
"PEQUE","Antioquia",80,1130,91,840,42,133,139,39,5638,2494,"5543","OIZ",2494,5.33279871692061,55.7644554806669
"PUEBLORRICO","Antioquia",92,1326,403,350,43,102,18,100,6824,2434,"5576","OIZ",2434,4.19063270336894,64.3317702227433
"PUERTO BERRIO","Antioquia",1048,3192,1503,2561,483,537,56,275,33297,9655,"5579","OIZ",9655,5.56188503366132,71.003393699132
"PUERTO NARE-LA MAGDALENA","Antioquia",693,870,345,2015,85,94,14,63,11662,4179,"5585","JMS",4179,2.24934194783441,64.1656662665066
"PUERTO TRIUNFO","Antioquia",283,2266,807,801,138,230,32,95,12172,4652,"5591","OIZ",4652,4.94411006018917,61.7811370358199
"REMEDIOS","Antioquia",524,826,618,648,245,279,29,148,15888,3317,"5604","OIZ",3317,8.41121495327103,79.1226082578046
"RETIRO","Antioquia",901,3390,1376,762,325,456,29,183,14090,7422,"5607","OIZ",7422,6.14389652384802,47.3243435060326
"RIONEGRO","Antioquia",7463,18074,9743,4397,2885,3451,126,1654,87238,47793,"5615","OIZ",47793,7.22072269997698,45.2153877897247
"SABANALARGA","Antioquia",77,1165,459,333,60,93,91,44,6723,2322,"5628","OIZ",2322,4.00516795865633,65.4618473895582
"SABANETA","Antioquia",4346,10093,5828,4102,2070,2412,57,747,54213,29655,"5631","OIZ",29655,8.13353566009105,45.2990980023242
"SALGAR","Antioquia",146,2007,249,353,101,146,53,72,13000,3127,"5642","OIZ",3127,4.66901183242725,75.9461538461538
"SAN ANDRES","Antioquia",103,657,272,193,54,140,20,74,4862,1513,"5647","OIZ",1513,9.2531394580304,68.8811188811189
