"MUN","DEP","OIZ","JMS","BLANCOS","SIN.MARCA","NULOS","POTENCIAL","TOTAL","DANE","GANADOR"
"EL ENCANTO","Amazonas",120,110,2,2,15,746,249,"91263","OIZ"
"LA CHORRERA","Amazonas",147,337,0,3,6,1038,493,"91405","JMS"
"LA PEDRERA","Amazonas",63,116,3,1,4,1042,187,"91407","JMS"
"LA VICTORIA","Amazonas",3,2,1,0,0,23,6,"91430","OIZ"
"LETICIA","Amazonas",7097,4893,384,59,216,31335,12649,"91001","OIZ"
"MIRITI PARANA","Amazonas",9,57,2,0,1,459,69,"91460","JMS"
"PUERTO ALEGRIA","Amazonas",22,38,2,0,0,277,62,"91530","JMS"
"PUERTO ARICA","Amazonas",47,71,0,0,1,403,119,"91536","JMS"
"PUERTO NARIÑO","Amazonas",793,930,24,9,32,4014,1788,"91540","JMS"
"PUERTO SANTANDER","Amazonas",71,116,2,0,0,654,189,"91669","JMS"
"TARAPACA","Amazonas",118,301,6,7,3,1322,435,"91798","JMS"
"ABEJORRAL","Antioquia",5300,1262,186,53,132,14939,6933,"5002","OIZ"
"ABRIAQUI","Antioquia",514,308,30,6,17,1903,875,"5004","OIZ"
"ALEJANDRIA","Antioquia",959,1120,84,17,26,4377,2206,"5021","JMS"
"AMAGA","Antioquia",4696,3494,624,46,381,20893,9241,"5030","OIZ"
"AMALFI","Antioquia",3543,871,324,51,146,15588,4935,"5031","OIZ"
"ANDES","Antioquia",10324,2829,563,77,304,32918,14097,"5034","OIZ"
"ANGELOPOLIS","Antioquia",1560,594,116,16,67,5466,2353,"5036","OIZ"
"ANGOSTURA","Antioquia",2161,1220,129,62,160,8632,3732,"5038","OIZ"
"ANORI","Antioquia",984,1251,119,38,46,10215,2438,"5040","JMS"
"ANTIOQUIA","Antioquia",4720,3274,444,75,287,18537,8800,"5042","OIZ"
"ANZA","Antioquia",1764,550,80,24,38,5322,2456,"5044","OIZ"
"APARTADO","Antioquia",13232,22551,1661,137,531,82208,38112,"5045","JMS"
"ARBOLETES","Antioquia",3199,6917,116,71,91,21371,10394,"5051","JMS"
"ARGELIA","Antioquia",2522,353,45,12,36,6489,2968,"5055","OIZ"
"ARMENIA","Antioquia",1117,692,81,29,48,4831,1967,"5059","OIZ"
"BARBOSA","Antioquia",8484,6233,922,87,692,35505,16418,"5079","OIZ"
"BELLO","Antioquia",66136,48351,9959,402,6192,296790,131040,"5088","OIZ"
"BELMIRA","Antioquia",1045,818,104,12,82,4470,2061,"5086","OIZ"
"BETANIA","Antioquia",2725,477,102,34,58,8241,3396,"5091","OIZ"
"BETULIA","Antioquia",4521,937,145,57,80,12791,5740,"5093","OIZ"
"BOLIVAR","Antioquia",7196,1908,398,54,259,23204,9815,"5101","OIZ"
"BRICEÑO","Antioquia",784,365,67,15,48,5819,1279,"5107","OIZ"
